City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Vestmanna,FO,62.16,-7.17,44.6,87,4,8.05,clear sky
312,Whyalla,AU,-33.03,137.58,53.6,54,90,10.29,overcast clouds
313,Dauriya,RU,49.93,116.87,29.62,94,100,1.63,overcast clouds
314,Berlevag,NO,70.86,29.09,33.8,86,75,13.87,broken clouds
315,San Luis,AR,-33.3,-66.34,61.3,46,16,19.75,few clouds
316,Hailun,CN,47.45,126.93,34.38,89,17,4.43,few clouds
317,Mizdah,LY,31.45,12.98,64.27,73,29,18.75,scattered clouds
318,Belaya Gora,RU,68.53,146.42,10.54,93,2,6.69,clear sky
319,Half Moon Bay,US,37.46,-122.43,64.0,72,75,5.82,haze
320,Viedma,AR,-40.81,-63.0,70.0,23,0,4.0,clear sky
321,Kozluk,TR,38.19,41.49,55.4,43,0,2.24,clear sky
322,Chapais,CA,49.78,-74.85,28.4,68,75,8.05,broken clouds
323,Kawalu,ID,-7.38,108.21,72.73,93,100,2.04,overcast clouds
324,Bosaso,SO,11.28,49.18,76.75,55,0,3.18,clear sky
325,Goderich,CA,43.75,-81.72,50.0,50,100,4.9,overcast clouds
326,Port-Cartier,CA,50.03,-66.87,37.99,43,75,11.41,broken clouds
327,Worland,US,44.02,-107.96,15.01,78,90,5.82,overcast clouds
328,Aripuana,BR,-9.17,-60.63,90.16,50,79,2.24,broken clouds
329,Fort Nelson,CA,58.81,-122.7,21.2,62,75,3.36,broken clouds
330,Ola,RU,59.58,151.28,36.73,79,100,9.78,overcast clouds
331,Pacific Grove,US,36.62,-121.92,63.0,72,75,3.96,broken clouds
332,Rach Gia,VN,10.02,105.08,77.0,100,75,4.41,broken clouds
333,Ciudad Bolivar,VE,8.12,-63.55,91.63,50,54,6.69,broken clouds
334,Takoradi,GH,4.88,-1.76,77.94,90,100,9.8,light rain
335,Te Anau,NZ,-45.42,167.72,43.59,87,100,5.17,overcast clouds
336,Muravlenko,RU,63.79,74.52,19.71,98,99,13.04,overcast clouds
337,Bambous Virieux,MU,-20.34,57.76,75.2,73,75,14.99,shower rain
338,Dalvik,IS,65.97,-18.53,42.8,81,75,9.17,broken clouds
339,Ribeira Grande,PT,38.52,-28.7,66.2,77,75,3.36,broken clouds
340,Srandakan,ID,-7.94,110.25,77.7,89,100,6.69,moderate rain
341,Mehriz,IR,31.59,54.43,59.0,21,0,4.7,clear sky
342,Ishigaki,JP,24.34,124.16,76.12,66,100,13.8,overcast clouds
343,Gannan,CN,47.91,123.5,37.11,79,100,2.55,overcast clouds
344,Ibiruba,BR,-28.63,-53.09,88.2,38,73,0.76,light rain
345,Vung Tau,VN,10.35,107.08,78.8,83,51,3.96,broken clouds
346,Cascavel,BR,-24.96,-53.46,86.14,42,64,2.62,broken clouds
347,Bar-Le-Duc,FR,48.75,5.17,51.8,93,90,8.05,overcast clouds
348,Nadym,RU,65.53,72.52,15.08,96,98,12.82,overcast clouds
349,Riga,LV,57.0,24.08,48.2,93,0,9.17,clear sky
350,Vieste,IT,41.88,16.18,55.4,87,5,5.82,clear sky
351,Mount Pleasant,US,32.79,-79.86,79.0,78,40,5.82,scattered clouds
352,Gizo,SB,-8.1,156.84,82.17,73,100,5.41,overcast clouds
353,Chimbote,PE,-9.09,-78.58,67.93,72,20,11.18,few clouds
354,Bindura,ZW,-17.3,31.33,70.0,38,20,3.0,few clouds
355,Caravelas,BR,-17.71,-39.25,73.62,96,100,6.44,moderate rain
356,Kaitangata,NZ,-46.28,169.85,48.0,87,100,1.25,overcast clouds
357,Pemangkat,ID,1.17,108.97,79.12,79,98,2.82,overcast clouds
358,Iqaluit,CA,63.75,-68.51,8.6,84,20,8.05,few clouds
359,Makurdi,NG,7.74,8.51,78.03,79,97,2.75,overcast clouds
360,Oranjemund,NA,-28.55,16.43,59.16,84,35,18.75,scattered clouds
361,Vostok,RU,46.49,135.88,27.91,99,41,1.99,scattered clouds
362,Praia Da Vitoria,PT,38.73,-27.07,64.4,77,40,7.05,scattered clouds
